id;name;pic_medium;pic_small;rank;uniques;url;views;selecionado
3ade68b3g3c86eda3;ExaltaSamba;https://s2.vagalume.com/exalta-samba/images/exalta-samba.jpg;https://s2.vagalume.com/exalta-samba/images/profile.jpg;9.6;1250;https://www.vagalume.com.br/exalta-samba/;3523;1
3ade68b7gfa1d1ea3;Anderson Freire;https://s2.vagalume.com/anderson-freire/images/anderson-freire.jpg;https://s2.vagalume.com/anderson-freire/images/profile.jpg;9.5;1236;https://www.vagalume.com.br/anderson-freire/;3126;0
3ade68b7gfc510ea3;Miro;https://s2.vagalume.com/miro/images/miro.jpg;https://s2.vagalume.com/miro/images/profile.jpg;9.5;1230;https://www.vagalume.com.br/miro/;1509;0
3ade68b7g2ea32ea3;Gustavo Mioto;https://s2.vagalume.com/gustavo-mioto/images/gustavo-mioto.jpg;https://s2.vagalume.com/gustavo-mioto/images/profile.jpg;9.5;1228;https://www.vagalume.com.br/gustavo-mioto/;3591;0
3ade68b7g16460ea3;Tiago Iorc;https://s2.vagalume.com/tiago-iorc/images/tiago-iorc.jpg;https://s2.vagalume.com/tiago-iorc/images/profile.jpg;9.5;1227;https://www.vagalume.com.br/tiago-iorc/;3832;1
3ade68b6ga263fda3;Tribo da Periferia;https://s2.vagalume.com/tribo-da-periferia/images/tribo-da-periferia.jpg;https://s2.vagalume.com/tribo-da-periferia/images/profile.jpg;9.4;1225;https://www.vagalume.com.br/tribo-da-periferia/;3417;0
3ade68b5g6a27eda3;Jota Quest;https://s2.vagalume.com/jota-quest/images/jota-quest.jpg;https://s2.vagalume.com/jota-quest/images/profile.jpg;9.4;1217;https://www.vagalume.com.br/jota-quest/;3997;1
3ade68b3g8e86eda3;Skank;https://s2.vagalume.com/skank/images/skank.jpg;https://s2.vagalume.com/skank/images/profile.jpg;9.3;1211;https://www.vagalume.com.br/skank/;4107;1
3ade68b6g7449eda3;Padre Fábio de Melo;https://s2.vagalume.com/fabio-de-melo/images/fabio-de-melo.jpg;https://s2.vagalume.com/fabio-de-melo/images/profile.jpg;9.3;1211;https://www.vagalume.com.br/fabio-de-melo/;4449;0
3ade68b5g3068eda3;Xuxa;https://s2.vagalume.com/xuxa/images/xuxa.jpg;https://s2.vagalume.com/xuxa/images/profile.jpg;9.2;1197;https://www.vagalume.com.br/xuxa/;2522;1
3ade68b5g6348eda3;Fernanda Brum;https://s2.vagalume.com/fernanda-brum/images/fernanda-brum.jpg;https://s2.vagalume.com/fernanda-brum/images/profile.jpg;9.2;1188;https://www.vagalume.com.br/fernanda-brum/;2804;0
3ade68b6g69d2fda3;Damares;https://s2.vagalume.com/damares/images/damares.jpg;https://s2.vagalume.com/damares/images/profile.jpg;9.1;1179;https://www.vagalume.com.br/damares/;2722;0
3ade68b7g6ef33ea3;Midian Lima;https://s2.vagalume.com/midian-lima/images/midian-lima.jpg;https://s2.vagalume.com/midian-lima/images/profile.jpg;9.1;1174;https://www.vagalume.com.br/midian-lima/;2286;0
3ade68b5g08b7eda3;Titãs;https://s2.vagalume.com/titas/images/titas.jpg;https://s2.vagalume.com/titas/images/profile.jpg;9.0;1173;https://www.vagalume.com.br/titas/;2988;1
3ade68b5ge3e6eda3;Djavan;https://s2.vagalume.com/djavan/images/djavan.jpg;https://s2.vagalume.com/djavan/images/profile.jpg;8.8;1143;https://www.vagalume.com.br/djavan/;4219;1
3ade68b5g60f6eda3;Engenheiros do Hawaii;https://s2.vagalume.com/engenheiros-do-hawaii/images/engenheiros-do-hawaii.jpg;https://s2.vagalume.com/engenheiros-do-hawaii/images/profile.jpg;8.8;1141;https://www.vagalume.com.br/engenheiros-do-hawaii/;4684;1
3ade68b6ga27aeda3;Grupo Revelação;https://s2.vagalume.com/grupo-revelacao/images/grupo-revelacao.jpg;https://s2.vagalume.com/grupo-revelacao/images/profile.jpg;8.8;1140;https://www.vagalume.com.br/grupo-revelacao/;3546;1
3ade68b6g658aeda3;Sandy & Junior;https://s2.vagalume.com/sandy-junior/images/sandy-junior.jpg;https://s2.vagalume.com/sandy-junior/images/profile.jpg;8.8;1140;https://www.vagalume.com.br/sandy-junior/;3049;1
3ade68b6g2e1eeda3;Shirley Carvalhaes;https://s2.vagalume.com/shirley-carvalhaes/images/shirley-carvalhaes.jpg;https://s2.vagalume.com/shirley-carvalhaes/images/profile.jpg;8.8;1139;https://www.vagalume.com.br/shirley-carvalhaes/;2177;0
3ade68b7gceba0ea3;Emicida;https://s2.vagalume.com/emicida/images/emicida.jpg;https://s2.vagalume.com/emicida/images/profile.jpg;8.8;1137;https://www.vagalume.com.br/emicida/;3015;0
3ade68b5gf548eda3;Guilherme Arantes;https://s2.vagalume.com/guilherme-arantes/images/guilherme-arantes.jpg;https://s2.vagalume.com/guilherme-arantes/images/profile.jpg;8.7;1122;https://www.vagalume.com.br/guilherme-arantes/;3594;0
3ade68b3g0d86eda3;Marisa Monte;https://s2.vagalume.com/marisa-monte/images/marisa-monte.jpg;https://s2.vagalume.com/marisa-monte/images/profile.jpg;8.5;1108;https://www.vagalume.com.br/marisa-monte/;4169;1
3ade68b6gc79beda3;Turma do Pagode;https://s2.vagalume.com/turma-do-pagode/images/turma-do-pagode.jpg;https://s2.vagalume.com/turma-do-pagode/images/profile.jpg;8.5;1099;https://www.vagalume.com.br/turma-do-pagode/;3099;1
